Unnamed: 1;QUADRO DE CONTROLE DE OBRA;Unnamed: 2;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 3;Unnamed: 7;Unnamed: 8;Unnamed: 9;
;;;;;;;;;;
;;;Complexo Alto Tietê - OAE Marginal - fase 02;;;Obra: ;P3931;;;
;;;SP-021 - Rodoanel Mário Covas - Leste;;;Estrada: ;;;;
;;;km 114+600 ao  km 117+000;;;km / estaca: ;;;;
FOL / CÓD.;N;REV.;;R0;R1;ASSUNTO;R2;R3;R4;
;;;;;;;;;;
AB-SPM00021D-114.117-825-C01/092;92;;;;;Formas - Seções e detalhes do apoio 172;;;;
AB-SPM00021D-114.117-825-C01/093;93;;;;;Formas - Seções e detalhes do apoio 173;;;;
AB-SPM00021D-114.117-825-C01/094;94;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 174;;;;
AB-SPM00021D-114.117-825-C01/095;95;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 175;;;;
AB-SPM00021D-114.117-825-C01/096;96;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 176;;;;
AB-SPM00021D-114.117-825-C01/097;97;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 177;;;;
AB-SPM00021D-114.117-825-C01/098;98;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 178;;;;
AB-SPM00021D-114.117-825-C01/099;99;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 179;;;;
AB-SPM00021D-114.117-825-C01/100;100;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 180;;;;
AB-SPM00021D-114.117-825-C01/101;101;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 181;;;;
AB-SPM00021D-114.117-825-C01/102;102;0;;27/03/2026 00:00;;Formas - Seções e detalhes do apoio 182;;;;
AB-SPM00021D-114.117-825-C01/103;103;0;;01/12/2025 00:00;;Formas - Plantas - apoios 1 a 21;;;;
AB-SPM00021D-114.117-825-C01/104;104;0;;06/02/2026 00:00;;Formas - Plantas - apoios 21 a 45;;;;
AB-SPM00021D-114.117-825-C01/105;105;0;;05/03/2026 00:00;;Formas - Plantas - apoios 45 a 68;;;;
AB-SPM00021D-114.117-825-C01/106;106;;;;;Formas - Plantas - apoios 68 a 87;;;;
AB-SPM00021D-114.117-825-C01/107;107;;;;;Formas - Plantas - apoios 87 a 111;;;;
AB-SPM00021D-114.117-825-C01/108;108;;;;;Formas - Plantas - apoios 111 a 135;;;;
AB-SPM00021D-114.117-825-C01/109;109;0;;27/03/2026 00:00;;Formas - Plantas - apoios 135 a 159;;;;
AB-SPM00021D-114.117-825-C01/110;110;0;;27/03/2026 00:00;;Formas - Plantas - apoios 159 a 177;;;;
AB-SPM00021D-114.117-825-C01/111;111;0;;27/03/2026 00:00;;Formas - Plantas - apoios 177 a 182;;;;
AB-SPM00021D-114.117-825-C01/112;112;1;;20/02/2026 00:00;27/03/2026 00:00;Implantação - Planta, elevação e sondagens - apoios 177 a 182;;;;
AB-SPM00021D-114.117-825-C01/113;113;0;;17/02/2026 00:00;;Formas - Seções e detalhes do apoio 94;;;;
AB-SPM00021D-114.117-825-C01/114;114;0;;17/02/2026 00:00;;Formas - Seções e detalhes do apoio 78 (pórtico sinalização);;;;
AB-SPM00021D-114.117-825-C01/115;115;;;;;Formas - Seções e detalhes do apoio 109 (pórtico sinalização);;;;
AB-SPM00021D-114.117-825-C01/116;116;;;;;Formas - Seções e detalhes do apoio 134 (pórtico sinalização);;;;
AB-SPM00021D-114.117-825-C01/117;117;;;;;Cablagem viga pré-moldada de 31.10m  (vãos 68, 669 e 70);;;;
AB-SPM00021D-114.117-825-C01/118;118;;;;;Armadura suplementar da viga pré-moldada de 31.10m (vãos 68, 69 e 70);;;;
AB-SPM00021D-114.117-825-C01/119;119;;;;;Cablagem viga pré-moldada de 28.35m  (vão 68);;;;
AB-SPM00021D-114.117-825-C01/120;120;;;;;Armadura suplementar da viga pré-moldada de 28.35m (vão 68);;;;
AB-SPM00021D-114.117-825-C01/121;121;;;;;Cablagem viga pré-moldada de 25.60m  (vão 68);;;;
AB-SPM00021D-114.117-825-C01/122;122;;;;;Armadura suplementar da viga pré-moldada de 25.60m (vão 68);;;;
AB-SPM00021D-114.117-825-C01/123;123;;;;;Cablagem viga pré-moldada de 22.85m  (vão 68);;;;
AB-SPM00021D-114.117-825-C01/124;124;;;;;Armadura suplementar da viga pré-moldada de 22.85m (vão 68);;;;
AB-SPM00021D-114.117-825-C01/125;125;;;;;Cablagem viga pré-moldada de 22.85m  (vão 68);;;;
AB-SPM00021D-114.117-825-C01/126;126;;;;;Armadura suplementar da viga pré-moldada de 22.8m (vão 68);;;;
AB-SPM00021D-114.117-825-C01/127;127;;;;;Cablagem viga pré-moldada de 20.00m  (vão 71);;;;
AB-SPM00021D-114.117-825-C01/128;128;;;;;Armadura suplementar da viga pré-moldada de 20.00m (vão 71);;;;
AB-SPM00021D-114.117-825-C01/129;129;;;;;Cablagem viga pré-moldada de 22.50m  (vão 71);;;;
AB-SPM00021D-114.117-825-C01/130;130;;;;;Armadura suplementar da viga pré-moldada de 22.50m (vão 71);;;;
AB-SPM00021D-114.117-825-C01/131;131;;;;;Cablagem viga pré-moldada de 25.00m  (vão 71);;;;
AB-SPM00021D-114.117-825-C01/132;132;;;;;Armadura suplementar da viga pré-moldada de 25.00m (vão 71);;;;
AB-SPM00021D-114.117-825-C01/133;133;;;;;Cablagem viga pré-moldada de 27.50m  (vão 71);;;;
AB-SPM00021D-114.117-825-C01/134;134;;;;;Armadura suplementar da viga pré-moldada de 27.50m (vão 71);;;;
AB-SPM00021D-114.117-825-C01/135;135;;;;;Cablagem viga pré-moldada de 30.00m  (vão 71);;;;
AB-SPM00021D-114.117-825-C01/136;136;;;;;Armadura suplementar da viga pré-moldada de 30.00m (vão 71);;;;
AB-SPM00021D-114.117-825-C01/137;137;;;;;Cablagem viga pré-moldada de 18.00m  (vão 72);;;;
AB-SPM00021D-114.117-825-C01/138;138;;;;;Armadura suplementar da viga pré-moldada de 18.00m (vão 72);;;;
AB-SPM00021D-114.117-825-C01/139;139;0;;27/02/2026 00:00;;Forma e armadura das vigas pré-moldadas de 12.10m - tipo 2 (vãos 153 a 170);;;;
AB-SPM00021D-114.117-825-C01/140;140;0;;27/02/2026 00:00;;Forma e armadura das vigas pré-moldadas de 8.60m (vãos 171 e 172);;;;
AB-SPM00021D-114.117-825-C01/141;141;;;;;Cablagem viga pré-moldada de 30.00m  (vãos 174 a 177, 180 e 181);;;;
AB-SPM00021D-114.117-825-C01/142;142;;;;;Armadura suplementar da viga pré-moldada de 30.00m (vãos 174 a 177, 180 e 181);;;;
AB-SPM00021D-114.117-825-C01/143;143;;;;;Cablagem viga pré-moldada de 24.70m  (vão 178);;;;
