QUADRO DE CONTROLE DE OBRA;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
;;;;;;;;;
;;;Obra: ;Complexo Alto Tietê - OAE Marginal - fase 02;;;P3931;;
;;;Estrada: ;SP-021 - Rodoanel Mário Covas - Leste;;;;;
;;;km / estaca: ;km 114+600 ao  km 117+000;;;;;
N;FOL / CÓD.;REV.;ASSUNTO;;R0;R1;R2;R3;R4
;;;;;;;;;
136;AB-SPM00021D-114.117-825-C01-136;;Armadura suplementar da viga pré-moldada de 30.00m (vão 71);;;;;;
137;AB-SPM00021D-114.117-825-C01-137;;Cablagem viga pré-moldada de 18.00m  (vão 72);;;;;;
138;AB-SPM00021D-114.117-825-C01-138;;Armadura suplementar da viga pré-moldada de 18.00m (vão 72);;;;;;
139;AB-SPM00021D-114.117-825-C01-139;0;Forma e armadura das vigas pré-moldadas de 12.10m - tipo 2 (vãos 153 a 170);;2026-02-27 00:00:00;;;;
140;AB-SPM00021D-114.117-825-C01-140;0;Forma e armadura das vigas pré-moldadas de 8.60m (vãos 171 e 172);;2026-02-27 00:00:00;;;;
141;AB-SPM00021D-114.117-825-C01-141;;Cablagem viga pré-moldada de 30.00m  (vãos 174 a 177, 180 e 181);;;;;;
142;AB-SPM00021D-114.117-825-C01-142;;Armadura suplementar da viga pré-moldada de 30.00m (vãos 174 a 177, 180 e 181);;;;;;
143;AB-SPM00021D-114.117-825-C01-143;;Cablagem viga pré-moldada de 24.70m  (vão 178);;;;;;
144;AB-SPM00021D-114.117-825-C01-144;;Armadura suplementar da viga pré-moldada de 24.70m (vão 178);;;;;;
145;AB-SPM00021D-114.117-825-C01-145;;Cablagem viga pré-moldada de 35.20m  (vão 179);;;;;;
146;AB-SPM00021D-114.117-825-C01-146;;Armadura suplementar da viga pré-moldada de 35.20m (vão 179);;;;;;
147;AB-SPM00021D-114.117-825-C01-147;;Armadura das transversinas do vão 89;;;;;;
148;AB-SPM00021D-114.117-825-C01-148;;Armadura das transversinas do vão 90;;;;;;
149;AB-SPM00021D-114.117-825-C01-149;;Armadura das transversinas do vão 91;;;;;;
150;AB-SPM00021D-114.117-825-C01-150;;Armadura das transversinas do vão 92;;;;;;
151;AB-SPM00021D-114.117-825-C01-151;;Armadura das transversinas do vão 93;;;;;;
152;AB-SPM00021D-114.117-825-C01-152;;Armadura das transversinas do vão 148;;;;;;
153;AB-SPM00021D-114.117-825-C01-153;;Armadura das transversinas do vão 149;;;;;;
154;AB-SPM00021D-114.117-825-C01-154;;Armadura das transversinas do vão 150;;;;;;
155;AB-SPM00021D-114.117-825-C01-155;;Armadura das transversinas do vão 151;;;;;;
156;AB-SPM00021D-114.117-825-C01-156;;Armadura das transversinas do vão 152;;;;;;
157;AB-SPM00021D-114.117-825-C01-157;;Armadura das transversinas do vão 153;;;;;;
158;AB-SPM00021D-114.117-825-C01-158;;Armadura das transversinas dos vãos 154 a 161;;;;;;
159;AB-SPM00021D-114.117-825-C01-159;;Armadura das transversinas do vão 162;;;;;;
160;AB-SPM00021D-114.117-825-C01-160;;Armadura das transversinas do vão 163;;;;;;
161;AB-SPM00021D-114.117-825-C01-161;;Armadura das transversinas do vão 164;;;;;;
162;AB-SPM00021D-114.117-825-C01-162;3;Armadura das estacas raiz dos apoios 53 a 70;;2025-12-01 00:00:00;2025-12-23 00:00:00;2026-01-23 00:00:00;2026-03-17 00:00:00;
163;AB-SPM00021D-114.117-825-C01-163;1;Armadura das estacas raiz dos apoios 18 a 32;;2025-09-23 00:00:00;2025-09-25 00:00:00;;;
164;AB-SPM00021D-114.117-825-C01-164;0;Armadura das estacas raiz dos apoios 33 a 45;;2025-08-29 00:00:00;;;;
165;AB-SPM00021D-114.117-825-C01-165;0;Armadura das estacas raiz dos apoios 46 a 52;;2025-08-08 00:00:00;;;;
166;AB-SPM00021D-114.117-825-C01-166;1;Armadura das estacas raiz dos apoios 1 a 10;;2025-06-25 00:00:00;2025-07-30 00:00:00;;;
167;AB-SPM00021D-114.117-825-C01-167;2;Armadura das estacas raiz dos apoios 11 a 17;;2025-07-09 00:00:00;2025-07-17 00:00:00;2025-07-30 00:00:00;;
168;AB-SPM00021D-114.117-825-C01-168;2;Armadura dos blocos e pilares dos apoios 1 a 15;;2025-07-17 00:00:00;2025-07-21 00:00:00;2025-07-25 00:00:00;;
