assunto;nome;fase;projetista;path;tipo_doc;obra;trecho;codigo;materia;materia_num;pagina;revisao;rev_num;rev_suf;revisao_status;tipo_arquivo
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/005;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Projeto de interferência/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-I01_005.R2.pdf;DE;SPM00021D;115.117;925;I;01;005;R2;2;;NOVO;pdf
;DE-SPM00021D-115.117-925-I01/006;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Projeto de interferência/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-I01_006.R0.dwg;DE;SPM00021D;115.117;925;I;01;006;R0;0;;NOVO;dwg
;DE-SPM00021D-115.117-925-I01/006;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Projeto de interferência/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-I01_006.R0.pdf;DE;SPM00021D;115.117;925;I;01;006;R0;0;;NOVO;pdf
Projeto de Desapropriação;DE-SPM00021D-115.117-925-D01/001;Fase 3;CANHEDO;CANHEDO/FASE 03/11-Desapropriação/DOCUMENTOS REVISADOS/DE-SPM00021D-115.117-925-D01_001.R1a.dwg;DE;SPM00021D;115.117;925;D;01;001;R1a;1;a;NOVO;dwg
Projeto de Desapropriação;DE-SPM00021D-115.117-925-D01/001;Fase 3;CANHEDO;CANHEDO/FASE 03/11-Desapropriação/DOCUMENTOS REVISADOS/DE-SPM00021D-115.117-925-D01_001.R1a.pdf;DE;SPM00021D;115.117;925;D;01;001;R1a;1;a;NOVO;pdf
Projeto de Desapropriação;DE-SPM00021D-115.117-925-D01/002;Fase 3;CANHEDO;CANHEDO/FASE 03/11-Desapropriação/DOCUMENTOS REVISADOS/DE-SPM00021D-115.117-925-D01_002.R1a.dwg;DE;SPM00021D;115.117;925;D;01;002;R1a;1;a;NOVO;dwg
Projeto de Desapropriação;DE-SPM00021D-115.117-925-D01/002;Fase 3;CANHEDO;CANHEDO/FASE 03/11-Desapropriação/DOCUMENTOS REVISADOS/DE-SPM00021D-115.117-925-D01_002.R1a.pdf;DE;SPM00021D;115.117;925;D;01;002;R1a;1;a;NOVO;pdf
Projeto de Desapropriação;DE-SPM00021D-115.117-925-D01/003;Fase 3;CANHEDO;CANHEDO/FASE 03/11-Desapropriação/DOCUMENTOS REVISADOS/DE-SPM00021D-115.117-925-D01_003.R1a.dwg;DE;SPM00021D;115.117;925;D;01;003;R1a;1;a;NOVO;dwg
Projeto de Desapropriação;DE-SPM00021D-115.117-925-D01/003;Fase 3;CANHEDO;CANHEDO/FASE 03/11-Desapropriação/DOCUMENTOS REVISADOS/DE-SPM00021D-115.117-925-D01_003.R1a.pdf;DE;SPM00021D;115.117;925;D;01;003;R1a;1;a;NOVO;pdf
Projeto de Desapropriação;DE-SPM00021D-115.117-925-D01/004;Fase 3;CANHEDO;CANHEDO/FASE 03/11-Desapropriação/DOCUMENTOS REVISADOS/DE-SPM00021D-115.117-925-D01_004.R1a.dwg;DE;SPM00021D;115.117;925;D;01;004;R1a;1;a;NOVO;dwg
